Matrix-K,Diamond-lambda,ITC,V,D_eq,Matrix-E,Matrix-JC-A,Matrix-JC-B,Matrix-JC-m,Interface-E,Interface-eta,Interface-t,effective-K,effective-a,CTE_list
203.2006621,191.6543598,5414.773783,0.434568728,0.603717408,70333.30108,66.80702529,138.0084141,0.713988964,399126.4237,2.570923061,0.000166128,388.8441428,1.19E-05,"[3.92896507627569e-09, 1.11106437339715e-05, 1.11535539557268e-05, 1.12746643895735e-05, 1.14633117358041e-05, 1.16959587539944e-05, 1.19896090186309e-05, 1.23193943682925e-05, 1.25781834317987e-05, 1.27316431678834e-05, 1.28213526892257e-05]"
132.8098371,284.7542267,337.7285451,0.207700605,0.588132089,70927.13356,54.9543419,112.1253225,0.545550766,214238.5474,2.6570321,0.00025578,129.5989102,1.78E-05,"[-1.69590260680755e-09, 1.72463370885918e-05, 1.72770553916094e-05, 1.73536761926022e-05, 1.74847576903358e-05, 1.77563354491525e-05, 1.80202640016587e-05, 1.81512349785653e-05, 1.82290655199087e-05, 1.82877067285524e-05, 1.83341502908676e-05]"
169.5975607,357.1049799,80738.35378,0.466589698,0.286901988,69218.54322,51.69911014,106.30763,0.651693903,290686.8681,2.230843817,0.000378211,420.9246535,1.14E-05,"[-4.21426653929757e-09, 1.03897855921698e-05, 1.0469747115882e-05, 1.06867331035708e-05, 1.09734456070963e-05, 1.13462554811604e-05, 1.17275647239785e-05, 1.1971176474572e-05, 1.20951834885402e-05, 1.21668903038151e-05, 1.2216648121671e-05]"
222.7340661,58.3703662,169.6481807,0.499531518,0.12707252,69555.29788,65.59395037,119.5054351,0.462391973,215118.6208,2.447894451,0.00053636,92.52647189,1.04E-05,"[-2.32733271070669e-10, 9.59633517789447e-06, 9.63422475424477e-06, 9.75426664682475e-06, 9.95534760907947e-06, 1.01739813669582e-05, 1.04262979473106e-05, 1.07093182049473e-05, 1.09523256260402e-05, 1.11203501349338e-05, 1.12260239827509e-05]"
216.8957328,495.5430491,26002.50396,0.331378634,0.860907202,69312.18145,35.43390605,116.7253435,0.502839196,346298.4064,2.523150671,0.000917106,387.2214417,1.50E-05,"[-1.55335967660123e-10, 1.38826666623391e-05, 1.40165764773886e-05, 1.43193737676681e-05, 1.48311195845432e-05, 1.51617142410645e-05, 1.53072027780346e-05, 1.53963257610067e-05, 1.54586408658993e-05, 1.55042664837079e-05, 1.5538613008029e-05]"
180.8510513,412.8489926,7578.532545,0.129889673,0.05829273,69059.15636,44.68822845,133.609731,0.212462968,422918.8301,1.639020035,0.000345654,179.382127,2.01E-05,"[5.36455834320151e-09, 1.9776693592705e-05, 1.97877501338822e-05, 1.98123843027079e-05, 1.98533434372172e-05, 1.99384002697041e-05, 2.00597527969461e-05, 2.01621997596081e-05, 2.02339761288963e-05, 2.0285998632782e-05, 2.03263058231616e-05]"
152.6637271,75.29852022,69300.1183,0.417913279,0.730105638,70798.50538,43.78821214,105.2346346,0.705159839,465021.4442,2.036950519,0.000859581,414.9813224,1.28E-05,"[-3.45323610734615e-09, 1.17001387920832e-05, 1.1819678150969e-05, 1.20864056297902e-05, 1.24749803052876e-05, 1.29466952951623e-05, 1.32210785119144e-05, 1.33510774411881e-05, 1.34301580186758e-05, 1.34864702056745e-05, 1.35287694676737e-05]"
190.785858,141.123318,4111.001115,0.12287499,0.46550134,69618.73185,56.43049062,127.954161,0.400968775,483874.174,2.59912474,0.000481456,224.9857282,2.01E-05,"[-2.63764084172735e-09, 1.97512918962333e-05, 1.97579162469179e-05, 1.9777774102348e-05, 1.98209172808601e-05, 1.99507269980947e-05, 2.01330789256619e-05, 2.02333614082459e-05, 2.02893978657664e-05, 2.03322909783286e-05, 2.03667473146911e-05]"
194.7441434,167.6823839,4943.684979,0.119676022,0.413099878,69701.06357,47.05321989,131.2587746,0.26344306,319047.3099,2.29847051,0.000205413,230.5413606,2.02E-05,"[5.38395526534534e-09, 1.99312357145137e-05, 1.9941621209983e-05, 1.99653469159848e-05, 2.00163494742549e-05, 2.01420866823105e-05, 2.02771950877776e-05, 2.03626344193425e-05, 2.04204320389762e-05, 2.04644249172422e-05, 2.04990733516135e-05]"
159.2375711,380.0365261,2304.565546,0.191505368,0.547169679,69964.14959,52.82436367,110.9963624,0.345296768,425704.2416,2.356801718,0.000644618,203.483806,1.82E-05,"[2.21500486319541e-09, 1.7728169453648e-05, 1.77517603635395e-05, 1.7806541143929e-05, 1.79020451855739e-05, 1.8110264466224e-05, 1.83391906021708e-05, 1.84739848350518e-05, 1.85591458940217e-05, 1.86215404298563e-05, 1.8669538598252e-05]"
142.9727648,110.4546044,9457.4035,0.150428428,0.16118195,69145.46383,48.93807659,109.5552723,0.622930458,274645.7853,1.723487688,0.000427911,178.1679443,1.95E-05,"[6.19101896663813e-09, 1.89557078990366e-05, 1.8987243512436e-05, 1.90543650444186e-05, 1.91991169533349e-05, 1.94552459748939e-05, 1.96082811304303e-05, 1.96849049940026e-05, 1.97379347344563e-05, 1.97785184053257e-05, 1.98102924838403e-05]"
150.6718617,432.7562548,871.8493619,0.521668674,0.933314542,70511.67622,58.70243272,128.7631011,0.593086006,239134.6084,2.18863944,0.000295857,244.7919325,1.01E-05,"[-6.62050021828989e-09, 9.22676329426354e-06, 9.28284074400645e-06, 9.44460560474957e-06, 9.68988370099593e-06, 9.96948249624266e-06, 1.02998093261621e-05, 1.05973322218146e-05, 1.07929023768052e-05, 1.09036688982242e-05, 1.09683931448149e-05]"
165.061649,333.0483494,966.6154019,0.354245384,0.304369978,70177.83051,60.18120803,135.173076,0.439569159,369263.1164,2.091864094,0.000794486,163.9800049,1.40E-05,"[-6.05096611667546e-10, 1.32291644277648e-05, 1.32683921425469e-05, 1.33790023604189e-05, 1.35405482098291e-05, 1.37600274831731e-05, 1.40706283075707e-05, 1.435211349877e-05, 1.45295195582534e-05, 1.46380714900412e-05, 1.47129699478849e-05]"
184.5854773,211.8980584,424.3260472,0.046611881,0.765796422,69416.44371,32.74706681,122.8148716,0.747451522,328880.3819,1.802046664,0.000904575,184.3701909,2.23E-05,"[-9.75827870987188e-09, 2.21319001164595e-05, 2.21352161989569e-05, 2.22035483402142e-05, 2.23094865148005e-05, 2.23422584486481e-05, 2.23658309500115e-05, 2.23809904416796e-05, 2.23911335825699e-05, 2.23990438543496e-05, 2.24053405287596e-05]"
214.7529994,118.7779122,55361.74235,0.284538201,0.700295321,70690.86022,41.86254356,137.7516386,0.58353761,454336.7755,1.884239363,0.000106361,385.7099621,1.61E-05,"[-8.23994344437618e-09, 1.5163874148915e-05, 1.52586845977532e-05, 1.54612515893404e-05, 1.58407149293397e-05, 1.62239747064173e-05, 1.63981328804778e-05, 1.6492664393608e-05, 1.65591695278781e-05, 1.66093417412377e-05, 1.66483337265491e-05]"
139.0119994,267.634541,60880.49301,0.083955324,0.365981003,70428.42952,31.76750018,120.6700211,0.351627124,287525.7135,1.68918959,0.0007291,170.2537346,2.12E-05,"[5.7796911428684e-09, 2.09163912709027e-05, 2.0930114644363e-05, 2.10118173958024e-05, 2.11775037388249e-05, 2.1257161544626e-05, 2.13042823640418e-05, 2.13371815934366e-05, 2.13609859848852e-05, 2.1379054421646e-05, 2.13933267845439e-05]"
233.303893,308.8220551,1288.25979,0.254611567,0.803470399,69855.26457,36.46379795,103.199345,0.485158417,248136.4021,1.968873583,0.0005732,279.0160213,1.68E-05,"[-8.87907149741146e-09, 1.5897063372256e-05, 1.59939211615197e-05, 1.62112834291663e-05, 1.66730104511544e-05, 1.69509096610457e-05, 1.70788206710892e-05, 1.71633961915771e-05, 1.7223877045479e-05, 1.72677117250461e-05, 1.73007800946814e-05]"
231.5027069,458.1400744,322.0201748,0.015619629,0.996563094,70289.3384,68.0596936,124.5116314,0.259642861,358608.0841,1.863790853,0.000623479,230.7927084,2.30E-05,"[2.03927687700702e-09, 2.29355218210049e-05, 2.2935666367032e-05, 2.29358324325136e-05, 2.29360444829895e-05, 2.29369532039735e-05, 2.29440749838079e-05, 2.29614922511458e-05, 2.29765910181641e-05, 2.29855894899599e-05, 2.29914958764727e-05]"
